harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25
-35.956395008397536,-54.934297560959266,-53.67427868846712,-46.58514898837467,-48.24296143531744,-58.10038571589886,-53.21900439281487,-55.359932334293525,-46.51979179478516,-61.946660445975375,-65.34093120217254,-74.10458241048491,-72.90977314800776,-67.74209678137747,-74.86090352754863,-71.76560898496739,-86.38044367139803,-80.90940293719326,-79.38590764954947,-86.82439408903618,-81.40954425925938,-79.51473500703143,-83.10119083863242,-88.63975828987473,
-12.195215596074092,-24.910393193838935,-30.460966586201593,-36.44081687970644,-28.42352187719385,-41.052001483271006,-33.36322549316044,-32.34123127089947,-54.60872033742509,-48.99996379733757,-54.998000816965536,-60.23800511585606,-53.53789299421529,-61.36117180161332,-51.41912570919593,-64.95581507769927,-54.72406859011048,-64.56883721780049,-63.43279625531528,-64.24927248277966,-57.262748594739776,-69.74577231953911,-75.77661431383807,-66.57535456959174,-65.76014984322117
-34.19378700853354,-35.475210249656534,-36.52925544694119,-38.58828092176027,-38.79405734636853,-52.90584632585543,-48.62452448076953,-56.50454643314089,-59.972431187229,-67.98150520162922,-65.3178195701686,-71.33255943809183,-77.36449643326313,-78.4462236552725,-84.93509853328949,,,,,,,,,,
-24.491171364440593,-22.46509667048511,-34.69360410461673,-29.00305679771832,-50.095531653821666,-40.25929521216087,,-40.7071415145251,-51.72379721984194,-51.63008841731881,-37.628748861701204,-55.65663847799527,-54.35400562841945,-57.025417826843174,-53.00647992626217,-56.618224963539355,-54.76533089819632,,-55.99775790113461,-51.19707364890307,-56.8750942017638,-79.73395363281364,-63.690840199162984,-66.00666401028883,-67.58262684654451
-50.98314869737793,-52.31406743651652,-36.272357189597045,-33.990863430569284,-29.794034493347866,-48.68380081929391,-49.77601194567866,-50.183175187452875,-52.44892986436953,-47.49983123290313,-67.62493078703174,-82.57090499840328,-82.4095586975127,-89.35596526657037,,,,,,,,,,,
-34.29342227421412,-51.40042471192022,-54.804480354403545,-57.32709009930608,-47.15414839221824,-51.571444953721524,-61.44644221593843,-61.75288424707168,-53.15772821063883,-59.08786751517106,-54.45138843160098,-55.94236085460943,-71.94206606515566,-69.85365482779586,-79.239631577391,-79.20008026650908,-68.35752905535416,-82.10051909412431,-74.8262763037464,-78.6702888118472,-69.80147601440453,-81.81991049210471,-85.7068046962625,-82.67692936360774,-80.95567119468289
-57.59939371283564,-41.92916369394095,-44.572996781433105,-42.411888260240126,-39.612885018750426,-41.584435497739605,-48.75510554542897,-57.91144821019283,-60.015681905620546,-53.07508437166832,-67.92363504922095,-74.3993201460628,-87.52663867570718,-71.01432484657768,,,,,,,,,,,
-19.938520139151212,-24.37252440599584,-49.234190766455654,-42.60334355115875,-42.25421432081384,-45.35329228726173,-44.157668284475555,-68.00990169506163,-57.9094155782979,-54.47453596550155,-70.27243388511666,-57.16823074589647,-58.34694937885541,-74.44284185451407,-67.2786235625882,-62.761740601019525,-71.13394400918403,-73.22840128510404,-77.90087624119263,-73.7935351029155,-85.63508214334331,-84.15937586171863,-89.22667468527511,-89.54204497410927,-83.98620937707629
-29.16157972190766,-36.379729310782054,-29.823663878727,-36.85998023608654,-42.40020994933146,-38.98449958295976,-56.51486900687048,-48.400676010938156,-47.599573418643416,-59.80432820092309,-60.94405353297377,-60.79299772560116,-59.72305071029459,-63.097374742895894,-67.91623180811959,-55.52624198137155,-67.9229359152832,-66.37256580950195,-63.02394486321618,-70.40404217284487,-68.5711090991048,-68.30650112589417,-71.10903203636968,-75.78098459859538,-74.67936349088879
-49.46417178345717,-51.07338765014287,-50.24630402581641,-40.457035102346104,-55.76948371537978,-47.14019946520928,-73.8500147845807,-54.14776297708061,-71.19778412118734,-58.846526394777285,-68.84648593697257,-74.04651969891646,-89.5949752527213,-73.74764622634032,,-73.63049537046899,-78.18520733237328,-76.47104622945825,,,-88.12169570423546,-88.12169570423546,,,
