harmonic_1,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_8,harmonic_9,harmonic_10,harmonic_11,harmonic_12,harmonic_13,harmonic_14,harmonic_15,harmonic_16,harmonic_17,harmonic_18,harmonic_19,harmonic_20,harmonic_21,harmonic_22,harmonic_23,harmonic_24,harmonic_25
-38.21739852886727,-48.30001304194909,-46.54302202460426,-42.66227502082911,-41.363983101110875,-63.57507678677146,-54.82788758667857,-55.343848070294214,-63.40888797139556,-69.01877742873772,-63.873248114807666,-66.93235104291168,-66.05379969285619,-68.20029185579152,-79.45380434540502,-77.11363921819826,-87.02491666023705,-89.5727136697229,-81.52498235580471,-83.32600982708601,-86.85512196640798,-85.3054588852987,,-89.43206590591338,
-26.5585563348256,-38.51834721093422,-47.80920777341259,-51.107232550723246,-58.40824832127184,-49.19869324095258,-50.2227193915855,-54.211042084060416,-60.31304867570933,-63.29524102802183,-69.0014369815884,-64.32055021578972,-78.11832491975998,-84.48532110608237,-78.69664235710309,-73.33425588872973,-78.14149205149967,-89.5731502609024,,,,,-88.97849181054715,,
-44.77163859242764,-29.3245900888937,-45.1965803885108,-45.62940742166281,-55.518341708063126,-60.543645303540615,-61.20775260360576,-68.92096608107629,-71.29669600791505,-85.81577886046641,-86.20685793901336,-76.01187700689484,-72.09449260180673,-82.82903038993082,,-88.93171169777777,-86.2979411118358,,,,,,,,
-40.463021095983486,-31.405432215824153,-49.992318601794835,-33.885210782981794,-46.181370461977735,-55.844942673652966,-47.16996109343825,-55.175421367199775,-60.89767803701885,-66.64642062356718,-66.3614559817948,-68.55710308325958,-62.803886956535486,-67.54597843661588,-73.61294499679055,-75.33958154797821,-88.87288580566448,-83.15150776507195,-87.76487384668945,-82.77499876153611,-86.20719189879323,-87.9214066297959,-87.60085707285077,-88.8247638638312,-79.94826383701742
-24.28454277701587,-31.12476861814606,-29.87962607189059,-41.975387624862236,-50.23341440310019,-40.449590844653464,-40.140396511165825,-46.78448452244188,-44.28729431169105,-50.79438790324223,-58.978257088219955,-49.817205939349584,-50.539638768319584,-54.31299911778558,-56.974768135258174,-66.7225529718081,-61.2367948595282,-74.63578127903945,-67.38215199402725,-66.3373411464899,-70.69073026781714,-64.99030976193443,-64.84995348529874,-70.23847964974756,-73.97334730948603
-30.73674727410246,-47.33698267884092,-58.00964005583461,-45.10029582399205,-52.958123893754646,-67.83682248488871,-58.063981871909206,-62.471277475333366,-77.78582077033529,-74.56585092528672,-79.95815384430875,-81.73755951041431,-83.9556257213119,-89.81626254495815,-87.93086526567888,,-87.01667997465378,,,,,,,,
-64.64390044360019,-44.25953546149686,-46.34591517218693,-74.61017464500505,-65.24106468813147,-73.51095112442461,-86.26936680302204,-85.80573303791327,,-85.29078791579526,,,,,,,,,,,,,,,
-61.217319159078535,-54.345962539401725,-61.415197362858954,-53.81025666010466,-73.67963312195482,-54.49020725057785,-67.79204545230064,-60.28834548160424,-59.53410812761956,-58.675083164785484,-76.83717427819525,-72.45824426667205,-68.88015569540806,-60.37540385974577,-71.83200446273996,-67.72916951179161,-77.45473808565423,-66.79004331903087,-67.90511156580283,-70.83243478329207,,-87.75170568953992,-86.6555811994259,-69.71556977802737,-84.57033747447063
-45.234033769396966,-46.78998786867619,-41.15149091662101,-53.805404163519775,-53.26164034174411,-72.80098045494391,-72.01841604797451,-58.358977378350446,-59.548250924180955,-69.63774706662507,-66.14509634735033,-74.17853844330368,-78.23077508375151,-70.06712080741457,-77.66803781650601,,-83.25289479622333,-85.1347754876539,-86.76411636920125,-88.56574120065271,-89.55597469734047,,-89.45426557012784,,
-23.878893503616712,-40.21215282184254,-34.90558137457068,-45.486626158762725,-39.74126892436368,-41.46182336508595,-50.19197957782019,-57.09822054515176,-51.82969853701268,-50.26614119864851,-59.335008719889736,-45.65319384959116,-56.307199863155056,-65.3613681620465,-67.41384910752764,-63.68964267121782,-66.97154004039092,-75.20721427273473,-64.89474089441488,-78.40452351751023,-71.99519743406724,-65.72113559360797,-69.28963548259064,-61.70259928993341,-71.37683811077433
-37.549459653014544,-42.2106556771549,-54.08104130439391,-51.02828236827189,-60.16989307257735,-66.57768607755237,-61.07543012577145,-74.53540305177235,-83.05138763867534,-75.02100703820685,-75.02328479900409,-87.89771817396075,-87.64736508353785,-74.20501628196651,-79.52753082531888,-84.03525469880067,-84.02124032163472,,,,,,,,
-23.95079673720838,-28.968053447033935,-24.09768920942541,-36.46284632488629,-31.581916945571887,-30.771303046976595,-38.132833245963816,-43.025306045191044,-44.637042701170095,-57.17156658132109,-52.223735250134425,-45.744304713319565,-43.846363751996634,-47.02483104856543,-63.57502055426963,-61.556946038430084,-62.46688108744492,-58.2377959928262,-69.52188442861369,-73.49863361503307,-61.82081058508663,-75.91177474378011,-64.5364440691788,-71.61696701419861,-79.29181961716773
-22.67038874888269,-27.020904456423214,-38.281187555628826,-37.946068281249204,-52.707894897268915,-45.68628130582554,-47.936186005850445,-63.625760172215095,-63.148958203893415,-67.8276806330301,-60.61783015670912,-74.08286764292052,-70.10527304023924,-75.03448845243408,-63.40842542565794,-70.39413825720683,-80.22908224889362,-66.02846345175648,-73.42081032213707,-87.82154866836467,-83.64334680782987,-83.79559079151451,-84.50716203739097,-87.46656146689337,
-15.900254002729493,-37.238805836629524,-33.721657950952576,-28.76915265717567,-31.380475348474487,-33.13132128956813,-40.82258679330448,-42.0160164117587,-40.32956871590841,-47.90358426879135,-47.38128339258604,-51.430608381312275,-66.92545589707358,-53.266810494269144,-54.37360507051488,-58.20951548056108,-58.69326477887285,-62.81071525243632,-68.96483596968031,-62.488423729958676,-58.40635151927629,-62.83549257241931,-75.03598412460903,-72.23624763535966,-75.64561011444866
-34.49494800459476,-36.09123133923794,-46.815406106290766,-52.28896639281172,-65.02198324585812,-70.70526136282996,-69.9092783999944,-55.734643849066586,-58.71765143083523,-75.19351241374821,-68.44075951677644,-72.27527555181031,-77.18847554337394,-74.43649561942898,-78.36781430893795,-76.28736731972229,-74.10612322089335,-73.9935989749773,,-83.1343566794544,-81.33448658067564,-85.23228493623895,-80.94312472185433,-84.84707419460278,-86.71532329333196
-21.43102512348327,-26.55455827549847,-28.089678323455473,-36.99757234486168,-43.83598174857383,-37.28167782757644,-40.26359146881515,-47.25234906455174,-46.008436923873205,-42.27060750557021,-54.614004313454515,-60.084181800920824,-65.88957146378196,-65.91458841030106,-74.08875670498975,-77.28344892298512,-68.87395947483392,-67.67365561090696,-77.01513529923925,-76.7735392477093,-76.02772617293623,-82.98134147569813,-78.22218404363672,-75.76291147698129,-84.64890999123678
-29.52739008167393,-25.915830996487337,-31.191262685326652,-31.43711716771434,-37.5899801304261,-48.5258511389757,-43.25874880883227,-39.85084670624008,-41.2862009426406,-46.93081879299363,-38.4038929460908,-48.17870223784425,-51.21295643839862,-50.033428547404064,-49.19656393068578,-58.870245692860195,-63.0628798313114,-67.54149456899391,-71.11189500503686,-68.42809763275785,-83.75579075534667,-86.69319333892015,-71.73650298784237,-77.46225568925404,-83.92505275272472
-31.13404441001794,-33.36797827536395,-36.39633606155598,-40.98506534099325,-46.997129299363486,-44.99329623611302,-50.04465116380599,-56.74503622379503,-69.93886779865102,-68.00084260135617,-82.55511618659135,-79.25613102578544,-63.053398439973655,-64.20136037849913,-73.86956694583097,-69.68379886123452,-74.75323638038019,-83.9470408623584,-79.83715803258433,,-70.58737116965642,-86.03393403299563,-88.42526681766279,,
-30.83759590704236,-33.993427058027294,-31.92636360939045,-44.59362228274602,-34.59954975668751,-58.20462610570953,-36.8275901836262,-50.60182798582433,-55.329997683805935,-45.709570958362,-60.86244921144993,-57.53199419292412,-51.77059173881214,-54.313282581944755,-58.37143971245402,-60.78596408628076,-51.29054795714849,-58.83810687963613,-72.78594155760553,,,,,,
-32.87886818603964,-42.24234723980908,-57.85713253807416,-63.47726934356704,-62.383060356856745,-56.79469585802588,-57.5603081546102,-61.459258848116875,-67.80802472387656,-80.40529163122257,-70.33157526566389,-79.68145271195294,-78.63853224491936,-87.85927201273569,-84.35074775394506,-83.03082430093343,,-87.00608675298352,,-81.94631450945457,-86.39012407823098,,,,
-35.979250072544694,-45.93532921532693,-55.30798408948591,-47.93499785212068,-58.87264941217031,-54.403995151536115,-46.513898044709144,-71.67935462539481,-63.39444913376174,-81.03456259872199,-75.88492682142675,-61.1831653999917,-78.1081753763059,-84.04349437464762,-86.55941623378749,-84.99663553473587,-82.15771277078859,-81.87941393588753,-82.34412475065056,-86.78222049114468,,,-85.6826305847936,-86.15566237009706,
-33.89234368746087,-40.19979469850945,-46.542416870115005,-38.76646418314938,-39.60082368672114,-48.114612117694406,-51.310609393907455,-49.05366292773404,-50.16274662334745,-60.95862450796811,-57.300638915014446,-54.227366168190294,-61.61649041726737,-63.04872060486103,-75.68078342248435,-67.9774594483327,-69.88215228333772,-74.19796482669027,-71.01150624922737,-70.80439341093802,-79.98285617813416,-74.7601915490553,-87.88484306444114,-75.72139318945156,-75.99562984064802
-44.71575596220233,-45.67473040417527,-48.1777854509648,-63.4531315293423,-55.91991336991666,-58.26257284275953,-61.00046912926882,-58.13083502179982,-67.71847666458758,-67.25619981463191,-68.33483999100487,-64.62066283867942,-67.47534163275897,-79.828310860508,-80.74965006688204,-76.48853610825967,-81.79988134292431,-88.85667925119638,,,-89.31189039079005,,,,
-22.511692598903462,-28.62554738494839,-25.41515649620362,-32.28415323403609,-37.52679514258839,-24.90474002110504,-26.124615663407173,-33.30003812414052,-33.181858996630226,-42.04870725432568,-37.37830397110196,-45.45853349119241,-43.53172705349343,-47.254190954438656,-49.52232701633598,-65.15673581358107,-54.82670693128927,-49.058896109197875,-49.06551953678844,-61.535827069026375,-58.42247006845179,-56.07506150367023,-71.79374046302844,-57.80361230529394,-66.3052919194975
-38.830777773881145,-51.52003871778696,-58.27663633476471,-62.2099666010152,-58.71721535236581,-57.801264057231045,-52.27615532134954,-55.73313015392084,-66.37118893765887,-67.41501529010645,-57.06333624939775,-68.37783812645338,-69.86558954163003,-58.23725086939809,-77.69716224814455,-71.55550208639302,-69.4865123939826,-74.56707656341106,-68.76391187630946,-68.0420662285029,-74.4066129799302,-77.76307875241697,-73.25957638400992,-87.73651733760857,
-49.10901500480393,-49.5672743513326,-50.22160784477549,-59.12338608211673,-48.94556309588752,-61.30441046731769,-53.3773452403524,-56.3246493013273,-61.77922368313697,-73.51726891811717,-74.98905659645888,-70.5255417962288,-79.4111049262471,-84.73998443832163,-76.31341827193665,-80.23564753222912,,,-89.33267084061355,-89.33267084061355,-88.68645921727328,,,,
-41.08413403936832,-41.57928174919483,-47.02524535374229,-63.13077431448086,-47.34491425508435,-50.731112658637144,-53.412033021602376,,-52.83389915976991,-86.0041093346891,-69.20221070686289,-56.16107412906819,-74.14783057628036,-76.22645494336285,-67.35732951475816,-74.29411943437968,-74.46705348658854,-78.70659581737074,-81.53270539304677,-71.18330897789208,-81.95117377373869,-81.58359798292737,-87.60535582953432,-78.53788354636754,-83.79048337083137
-26.927125659755347,-29.22607866384365,-42.42350671667332,-37.311147681989304,-49.94525095252385,-39.13349615679796,-52.11022271363153,-53.647567066002,-47.69137090852563,-52.0326173749438,-52.33700468763508,-45.07486116831827,-56.65859730248852,-56.87272937001846,-70.27984954840642,-59.49157357876978,-62.48737139046904,-68.43506840305045,-68.72705876927122,-72.85482604017407,-69.93469095032364,-86.12124492345662,-76.98880806052765,-84.39140934936748,-75.83160302391315
-24.940947583896598,-28.000912494458426,-29.97833073313441,-48.113108662417325,-34.17481033458847,-28.838767017052845,-35.603864564280684,-38.255415732638234,-41.34837681823152,-45.275599705665954,-38.37199911905913,-37.34778105179738,-45.79939971450424,-50.65796149585545,-68.81993818996138,-60.39238336962653,-66.7088868497873,-70.61497939181749,-62.909603989974855,-65.0635278012507,-78.33049010081925,-70.20579356919475,-69.90532322796645,-75.75047864806704,-82.07534456330369
-23.778866300151115,-29.283288709477066,-41.56715861648538,-38.50502526862461,-42.01506587909297,-53.91584768890203,-43.626996539258755,-43.40027100908406,-54.28877499632004,-59.50880771961226,-56.065277618712464,-62.368230458871935,-81.4724147534709,-78.04709162548325,,,,,-82.04298505532712,,,,,,
-23.59168310056241,-30.885403539390254,-36.07354506956541,-35.64842241019853,-34.34468007318845,-34.981782424671025,-46.98129272410098,-47.90003013406241,-44.05413277178578,-57.896980498965554,-47.994125141401014,-49.00191740513789,-53.4451209279373,-78.11963484719013,-77.80392086883235,-66.87708581628137,-62.00118347549405,-80.97116534823162,-66.96927290127518,-66.39479247621186,-76.50701434637426,-74.0855953593829,-74.10729337517266,-80.0764206276562,-71.13175467487021
